,season,teamName,playerName,shots_total,shots_on,goals_total,PTS
0,2020,Barcelona,A. Griezmann,62.0,34.0,13.0,79
1,2020,Barcelona,Jordi Alba,25.0,10.0,3.0,79
2,2020,Barcelona,Chumi,0.0,0.0,0.0,79
3,2020,Barcelona,Piqué,7.0,2.0,0.0,79
4,2020,Barcelona,Sergi Roberto,3.0,1.0,1.0,79
5,2020,Barcelona,Rafinha,0.0,0.0,0.0,79
6,2020,Barcelona,Sergio Busquets,2.0,1.0,0.0,79
7,2020,Barcelona,Philippe Coutinho,21.0,10.0,2.0,79
8,2020,Barcelona,L. Messi,141.0,91.0,30.0,79
9,2020,Barcelona,L. Suárez,0.0,0.0,0.0,79
10,2020,Barcelona,F. de Jong,13.0,6.0,3.0,79
11,2020,Barcelona,M. Pjanić,12.0,3.0,0.0,79
12,2020,Barcelona,R. Manaj,0.0,0.0,0.0,79
13,2020,Barcelona,Carles Pérez,0.0,0.0,0.0,79
14,2020,Barcelona,R. Araujo,10.0,4.0,2.0,79
15,2020,Barcelona,Pedri,18.0,9.0,3.0,79
16,2020,Barcelona,Óscar Mingueza,11.0,6.0,2.0,79
17,2020,Barcelona,Gustavo Maia,0.0,0.0,0.0,79
18,2020,Atletico Madrid,J. Giménez,12.0,5.0,0.0,86
19,2020,Atletico Madrid,S. Savić,5.0,2.0,1.0,86
20,2020,Atletico Madrid,T. Lemar,18.0,11.0,1.0,86
21,2020,Atletico Madrid,Vitolo,2.0,0.0,0.0,86
22,2020,Atletico Madrid,Saúl,26.0,13.0,2.0,86
23,2020,Atletico Madrid,Koke,10.0,7.0,1.0,86
24,2020,Atletico Madrid,Á. Correa,41.0,23.0,9.0,86
25,2020,Atletico Madrid,L. Suárez,87.0,43.0,21.0,86
26,2020,Atletico Madrid,Šime Vrsaljko,0.0,0.0,0.0,86
27,2020,Atletico Madrid,João Félix,31.0,16.0,7.0,86
28,2020,Atletico Madrid,Marcos Llorente,41.0,22.0,12.0,86
29,2020,Atletico Madrid,Hermoso,15.0,5.0,1.0,86
30,2020,Atletico Madrid,Y. Carrasco,36.0,24.0,6.0,86
31,2020,Atletico Madrid,I. Šaponjić,0.0,0.0,0.0,86
32,2020,Atletico Madrid,Josep Calavera,0.0,0.0,0.0,86
33,2020,Atletico Madrid,Óscar Castro,0.0,0.0,0.0,86
34,2020,Atletico Madrid,Ricard Sánchez,1.0,0.0,0.0,86
35,2020,Atletico Madrid,Álvaro García,0.0,0.0,0.0,86
36,2020,Atletico Madrid,Adrián Corral,0.0,0.0,0.0,86
37,2020,Athletic Club,Íñigo Martínez,17.0,7.0,1.0,46
38,2020,Athletic Club,Muniain,17.0,11.0,5.0,46
39,2020,Athletic Club,Álex Berenguer,34.0,15.0,8.0,46
40,2020,Athletic Club,Balenziaga,3.0,1.0,0.0,46
41,2020,Athletic Club,Yuri,12.0,6.0,1.0,46
42,2020,Athletic Club,De Marcos,6.0,5.0,1.0,46
43,2020,Athletic Club,Lekue,2.0,1.0,0.0,46
44,2020,Athletic Club,Unai Núñez,11.0,5.0,1.0,46
45,2020,Athletic Club,Dani García,5.0,1.0,0.0,46
46,2020,Athletic Club,Raúl García,36.0,14.0,5.0,46
47,2020,Athletic Club,Ibai Gómez,4.0,0.0,0.0,46
48,2020,Athletic Club,Unai López,16.0,10.0,3.0,46
49,2020,Athletic Club,K. Kodro,2.0,2.0,1.0,46
50,2020,Athletic Club,I. Williams,35.0,17.0,6.0,46
51,2020,Athletic Club,Mikel Vesga,16.0,5.0,0.0,46
52,2020,Athletic Club,Asier Villalibre,33.0,14.0,4.0,46
53,2020,Athletic Club,Oihan Sancet,17.0,6.0,2.0,46
54,2020,Athletic Club,Julen Bernaola,0.0,0.0,0.0,46
55,2020,Athletic Club,Beñat Prados,0.0,0.0,0.0,46
56,2020,Athletic Club,Nico Williams,1.0,0.0,0.0,46
57,2020,Valencia,Álex Centelles,0.0,0.0,0.0,43
58,2020,Valencia,Gabriel Paulista,13.0,6.0,4.0,43
59,2020,Valencia,M. Diakhaby,8.0,4.0,1.0,43
60,2020,Valencia,José Gayà,19.0,5.0,1.0,43
61,2020,Valencia,Hugo Guillamón,7.0,1.0,1.0,43
62,2020,Valencia,Toni Lato,2.0,2.0,1.0,43
63,2020,Valencia,Gonçalo Guedes,34.0,15.0,5.0,43
64,2020,Valencia,Lee Kang-In,16.0,7.0,0.0,43
65,2020,Valencia,Carlos Soler,27.0,17.0,11.0,43
66,2020,Valencia,Rubén Sobrino,7.0,5.0,0.0,43
67,2020,Valencia,Thierry Correia,8.0,2.0,1.0,43
68,2020,Valencia,M. Gómez,39.0,25.0,7.0,43
69,2020,Valencia,K. Sibille,0.0,0.0,0.0,43
70,2020,Valencia,C. Oliva,2.0,1.0,0.0,43
71,2020,Valencia,Guillem Molina,0.0,0.0,0.0,43
72,2020,Valencia,Jesús Vázquez,0.0,0.0,0.0,43
73,2020,Valencia,Vicente Esquerdo,1.0,0.0,0.0,43
74,2020,Villarreal,Paco Alcácer,28.0,20.0,6.0,58
75,2020,Villarreal,J. Foyth,1.0,0.0,0.0,58
76,2020,Villarreal,Alberto Moreno,1.0,0.0,0.0,58
77,2020,Villarreal,Raúl Albiol,8.0,1.0,0.0,58
78,2020,Villarreal,F. Coquelin,1.0,0.0,0.0,58
79,2020,Villarreal,Dani Parejo,22.0,9.0,3.0,58
80,2020,Villarreal,Jaume Costa,2.0,0.0,0.0,58
81,2020,Villarreal,Alfonso Pedraza,15.0,8.0,1.0,58
82,2020,Villarreal,A. Rațiu,0.0,0.0,0.0,58
83,2020,Villarreal,Manu Trigueros,18.0,8.0,1.0,58
84,2020,Villarreal,Gerard Moreno,78.0,47.0,23.0,58
85,2020,Villarreal,É. Capoue,7.0,3.0,1.0,58
86,2020,Villarreal,Pau Torres,8.0,3.0,2.0,58
87,2020,Villarreal,Rubén Peña,4.0,2.0,1.0,58
88,2020,Villarreal,Moi Gómez,16.0,11.0,4.0,58
89,2020,Villarreal,Álex Baena,2.0,1.0,0.0,58
90,2020,Villarreal,Yeremy Pino,9.0,5.0,3.0,58
91,2020,Sevilla,Óliver Torres,8.0,3.0,0.0,77
92,2020,Sevilla,J. Koundé,18.0,6.0,2.0,77
93,2020,Sevilla,Suso,36.0,17.0,3.0,77
94,2020,Sevilla,L. Ocampos,54.0,21.0,5.0,77
95,2020,Sevilla,J. Gnagnon,0.0,0.0,0.0,77
96,2020,Sevilla,Javi Vázquez,0.0,0.0,0.0,77
