,season,teamName,playerName,label,PTS
7,2020,Real Madrid,E. Hazard,Bad,84
47,2020,Real Sociedad,Carlos Fernández,Bad,62
12,2020,Real Betis,N. Fekir,Good,61
16,2020,Real Betis,Borja Iglesias,Normal,61
27,2020,Celta Vigo,Iago Aspas,Good,53
54,2020,Celta Vigo,Nolito,Normal,53
33,2020,Athletic Club,Muniain,Good,46
38,2020,Granada CF,Soldado,Normal,46
30,2020,Cadiz,F. Malbašić,Normal,44
8,2020,Valencia,Rubén Sobrino,Bad,43
4,2020,Getafe,Mamor Niang,Bad,38
11,2020,Getafe,C. Hernández,Normal,38
18,2020,Alaves,Luis Rioja,Normal,38
26,2020,Getafe,Jaime Mata,Normal,38
0,2020,Elche,L. Boyé,Normal,36
40,2020,Elche,Nino,Bad,36
32,2020,Valladolid,K. Kodro,Normal,31
51,2020,Valladolid,Fabián Orellana,Good,31
55,2020,Eibar,Kike García,Normal,30
13,2021,Real Madrid,Rodrygo,Normal,86
41,2021,Real Madrid,E. Hazard,Bad,86
1,2021,Barcelona,S. Agüero,Bad,73
19,2021,Real Betis,Juanmi,Normal,65
9,2021,Real Sociedad,A. Sørloth,Normal,62
36,2021,Athletic Club,Asier Villalibre,Normal,55
44,2021,Athletic Club,Nico Williams,Normal,55
43,2021,Valencia,Hélder Costa,Normal,48
48,2021,Valencia,Gonçalo Guedes,Good,48
5,2021,Rayo Vallecano,Sergi Guardiola,Normal,42
15,2021,Rayo Vallecano,R. Falcao,Normal,42
24,2021,Espanyol,Javi Puado,Normal,42
45,2021,Rayo Vallecano,Bebé,Normal,42
10,2021,Granada CF,M. Uzuni,Normal,38
23,2021,Granada CF,M. Arezo,Bad,38
29,2021,Granada CF,Jorge Molina,Normal,38
37,2021,Granada CF,L. Suárez,Normal,38
21,2021,Levante,Soldado,Normal,35
25,2021,Levante,Jorge de Frutos,Normal,35
53,2021,Levante,Roger,Normal,35
14,2022,Real Sociedad,Barrenetxea,Normal,71
31,2022,Real Sociedad,Mikel Oyarzabal,Normal,71
28,2022,Villarreal,Jorge Pascual,Bad,64
22,2022,Real Betis,Willian José,Normal,60
39,2022,Real Betis,N. Fekir,Bad,60
50,2022,Osasuna,Kike Barja,Normal,53
34,2022,Athletic Club,Nico Williams,Normal,51
46,2022,Athletic Club,Álex Berenguer,Good,51
49,2022,Athletic Club,Gorka Guruzeta,Normal,51
3,2022,Rayo Vallecano,Sergio Camello,Normal,49
2,2022,Cadiz,M. Diarra,Bad,42
6,2022,Getafe,Jaime Mata,Normal,42
52,2022,Getafe,Borja Mayoral,Normal,42
17,2022,Valladolid,Sergi Guardiola,Bad,40
35,2022,Espanyol,Adri Embarba,Bad,37
42,2022,Espanyol,Raúl de Tomás,Bad,37
20,2022,Elche,Roger,Normal,25
