,season,teamName,playerName,position,game_appear,game_lineups,game_minutes,shot_success_rate,duel_success_rate,dribble_success_rate,key_pass,pass_accura,fouls_drawn,label
153,2020,Levante,Dani Gómez,Attacker,34.0,17.0,1663.0,0.09090909090909091,0.36554621848739494,0.559322033898305,11.0,7.0,38.0,Normal
286,2020,Granada CF,Jorge Molina,Attacker,33.0,17.0,1612.0,0.42105263157894735,0.45161290322580644,0.45454545454545453,21.0,8.0,27.0,Normal
788,2021,Mallorca,Abdón Prats,Attacker,23.0,6.0,631.0,0.21428571428571427,0.45454545454545453,0.6363636363636364,10.0,4.0,15.0,Normal
234,2020,Eibar,Bryan Gil,Attacker,28.0,26.0,2273.0,0.13333333333333333,0.48427672955974843,0.5537190082644629,52.0,22.0,47.0,Normal
132,2020,Celta Vigo,Alfon González,Attacker,2.0,0.0,32.0,0.0,0.625,0.5,1.0,8.0,4.0,Bad
909,2022,Sevilla,Rafa Mir,Attacker,26.0,16.0,1297.0,0.14634146341463414,0.3732394366197183,0.0,9.0,6.0,11.0,Normal
42,2020,Athletic Club,Álex Berenguer,Attacker,35.0,27.0,2289.0,0.23529411764705882,0.4241573033707865,0.4794520547945205,38.0,16.0,46.0,Good
10,2020,Barcelona,L. Messi,Attacker,35.0,33.0,3022.0,0.2127659574468085,0.5708582834331337,0.6477732793522267,81.0,54.0,99.0,Good
1189,2022,Mallorca,V. Muriqi,Attacker,35.0,34.0,2953.0,0.2459016393442623,0.4875717017208413,0.4444444444444444,21.0,13.0,38.0,Normal
887,2022,Villarreal,Gerard Moreno,Attacker,21.0,14.0,1227.0,0.19444444444444445,0.5140845070422535,0.5918367346938775,18.0,16.0,14.0,Normal
1084,2022,Almeria,Léo Baptistão,Attacker,28.0,24.0,1744.0,0.1724137931034483,0.44036697247706424,0.4666666666666667,18.0,12.0,23.0,Normal
572,2021,Espanyol,Adri Embarba,Attacker,32.0,24.0,1997.0,0.0,0.44753086419753085,0.5125,38.0,14.0,43.0,Normal
1073,2022,Valladolid,S. Weissman,Attacker,15.0,6.0,742.0,0.0625,0.2807017543859649,0.5,3.0,4.0,8.0,Bad
842,2022,Athletic Club,Muniain,Attacker,30.0,19.0,1692.0,0.0,0.6108374384236454,0.7169811320754716,47.0,28.0,62.0,Good
313,2020,Valladolid,Sergi Guardiola,Attacker,29.0,19.0,1794.0,0.04,0.3778409090909091,0.5434782608695652,12.0,11.0,40.0,Normal
171,2020,Real Madrid,Vinícius Júnior,Attacker,35.0,22.0,1972.0,0.1,0.48363636363636364,0.5443037974683544,33.0,18.0,54.0,Good
988,2022,Real Betis,Juanmi,Attacker,22.0,9.0,919.0,0.26666666666666666,0.41304347826086957,0.4444444444444444,4.0,9.0,22.0,Normal
239,2020,Eibar,Sergi Enrich,Attacker,27.0,13.0,1398.0,0.08823529411764706,0.45733788395904434,0.4666666666666667,16.0,12.0,19.0,Normal
1182,2022,Mallorca,T. Kadewere,Attacker,15.0,5.0,538.0,0.07142857142857142,0.5227272727272727,0.6428571428571429,3.0,7.0,3.0,Bad
621,2021,Real Betis,N. Fekir,Attacker,34.0,33.0,2812.0,0.10909090909090909,0.47928994082840237,0.6666666666666666,86.0,33.0,92.0,Good
0,2020,Barcelona,A. Griezmann,Attacker,36.0,32.0,2619.0,0.20967741935483872,0.5637254901960784,0.7027027027027027,42.0,31.0,34.0,Good
675,2021,Real Sociedad,Portu,Attacker,37.0,17.0,1587.0,0.0625,0.39263803680981596,0.5,18.0,9.0,25.0,Normal
932,2022,Celta Vigo,Miguel Rodríguez,Attacker,7.0,3.0,251.0,0.5,0.37777777777777777,0.3333333333333333,1.0,8.0,6.0,Bad
1041,2022,Real Sociedad,A. Sørloth,Attacker,34.0,28.0,2398.0,0.22641509433962265,0.39171974522292996,0.4117647058823529,31.0,9.0,16.0,Normal
700,2021,Cadiz,Lucas Pérez,Attacker,15.0,11.0,1061.0,0.3,0.27692307692307694,0.4166666666666667,30.0,17.0,9.0,Bad
970,2022,Real Madrid,E. Hazard,Attacker,6.0,2.0,194.0,0.0,0.631578947368421,0.5,7.0,15.0,9.0,Bad
906,2022,Sevilla,Bryan Gil,Attacker,17.0,10.0,919.0,0.2222222222222222,0.46564885496183206,0.5135135135135135,8.0,15.0,19.0,Normal
345,2020,Huesca,Sandro Ramírez,Attacker,20.0,16.0,1294.0,0.19230769230769232,0.5054347826086957,0.45454545454545453,10.0,12.0,51.0,Normal
546,2021,Levante,José Luis Morales,Attacker,35.0,31.0,2725.0,0.21311475409836064,0.3868421052631579,0.41025641025641024,36.0,13.0,40.0,Good
28,2020,Atletico Madrid,L. Suárez,Attacker,32.0,30.0,2521.0,0.2413793103448276,0.47619047619047616,0.3939393939393939,27.0,12.0,40.0,Good
921,2022,Celta Vigo,H. Seferović,Attacker,18.0,10.0,887.0,0.3,0.4666666666666667,0.5,6.0,7.0,6.0,Normal
421,2021,Atletico Madrid,L. Suárez,Attacker,35.0,20.0,1834.0,0.22448979591836735,0.4306569343065693,0.2608695652173913,15.0,10.0,26.0,Normal
272,2020,Real Sociedad,Martín Merquelanz,Attacker,13.0,4.0,541.0,0.0,0.5423728813559322,0.6,9.0,13.0,13.0,Bad
1149,2022,Rayo Vallecano,Bebé,Attacker,4.0,0.0,56.0,0.0,0.29411764705882354,0.42857142857142855,2.0,4.0,2.0,Bad
603,2021,Alaves,Joselu,Attacker,37.0,35.0,3125.0,0.1917808219178082,0.5933014354066986,0.35294117647058826,35.0,17.0,57.0,Good
1101,2022,Cadiz,Lucas Pérez,Attacker,14.0,5.0,623.0,0.23076923076923078,0.2926829268292683,0.3333333333333333,4.0,11.0,4.0,Bad
68,2020,Valencia,Gonçalo Guedes,Attacker,31.0,27.0,2301.0,0.14705882352941177,0.5079365079365079,0.6804123711340206,34.0,17.0,68.0,Good
1043,2022,Real Sociedad,U. Sadiq,Attacker,2.0,1.0,82.0,0.16666666666666666,0.2127659574468085,0.3333333333333333,3.0,7.0,2.0,Bad
797,2021,Mallorca,Javi Llabrés,Attacker,5.0,1.0,129.0,0.0,0.5833333333333334,0.6666666666666666,3.0,9.0,0.0,Bad
890,2022,Villarreal,José Luis Morales,Attacker,29.0,11.0,1201.0,0.21212121212121213,0.3739130434782609,0.4,9.0,6.0,10.0,Normal
148,2020,Levante,José Luis Morales,Attacker,38.0,30.0,2454.0,0.2765957446808511,0.35714285714285715,0.4246575342465753,34.0,12.0,18.0,Good
1148,2022,Rayo Vallecano,Raúl de Tomás,Attacker,19.0,9.0,804.0,0.12121212121212122,0.45081967213114754,0.68,9.0,6.0,23.0,Normal
967,2022,Real Madrid,Vinícius Júnior,Attacker,33.0,32.0,2833.0,0.17857142857142858,0.4810810810810811,0.42105263157894735,64.0,25.0,122.0,Good
155,2020,Levante,Jorge de Frutos,Attacker,37.0,22.0,2187.0,0.17391304347826086,0.45484949832775917,0.5,41.0,11.0,28.0,Normal
911,2022,Sevilla,Y. En-Nesyri,Attacker,31.0,17.0,1659.0,0.16666666666666666,0.4056603773584906,0.2,10.0,5.0,9.0,Normal
55,2020,Athletic Club,Asier Villalibre,Attacker,35.0,16.0,1583.0,0.12121212121212122,0.46078431372549017,0.3333333333333333,13.0,5.0,32.0,Normal
1045,2022,Real Sociedad,Carlos Fernández,Attacker,24.0,8.0,625.0,0.05263157894736842,0.4453125,0.6875,7.0,4.0,15.0,Normal
1062,2022,Valladolid,C. Larin,Attacker,19.0,16.0,1470.0,0.19047619047619047,0.38666666666666666,0.4,16.0,9.0,25.0,Normal
500,2021,Sevilla,A. Martial,Attacker,9.0,7.0,495.0,0.0,0.40625,0.4375,2.0,14.0,11.0,Bad
1065,2022,Valladolid,G. Plata,Attacker,34.0,26.0,2307.0,0.038461538461538464,0.44575471698113206,0.4304635761589404,37.0,15.0,41.0,Normal
271,2020,Real Sociedad,Barrenetxea,Attacker,31.0,13.0,1298.0,0.17647058823529413,0.4,0.582089552238806,15.0,9.0,20.0,Normal
372,2020,Osasuna,A. Budimir,Attacker,30.0,18.0,1622.0,0.2894736842105263,0.5439560439560439,0.5,9.0,8.0,31.0,Normal
672,2021,Real Sociedad,Barrenetxea,Attacker,11.0,6.0,547.0,0.14285714285714285,0.44642857142857145,0.40540540540540543,6.0,12.0,16.0,Normal
214,2020,Real Betis,Juanmi,Attacker,16.0,5.0,598.0,0.2,0.375,0.45454545454545453,2.0,7.0,3.0,Bad
80,2020,Villarreal,Paco Alcácer,Attacker,27.0,19.0,1555.0,0.21428571428571427,0.3465346534653465,0.7272727272727273,15.0,7.0,8.0,Normal
1009,2022,Getafe,Portu,Attacker,34.0,17.0,1762.0,0.0,0.44385026737967914,0.4,27.0,11.0,25.0,Normal
59,2020,Athletic Club,Nico Williams,Attacker,2.0,0.0,55.0,0.0,0.5555555555555556,1.0,0.0,4.0,0.0,Bad
522,2021,Celta Vigo,Santi Mina,Attacker,33.0,30.0,2380.0,0.14285714285714285,0.42677824267782427,0.5714285714285714,21.0,12.0,39.0,Normal
816,2022,Barcelona,Lamine Yamal,Attacker,1.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,Bad
849,2022,Athletic Club,I. Williams,Attacker,36.0,34.0,2852.0,0.15151515151515152,0.4304635761589404,0.4787234042553192,38.0,14.0,31.0,Normal
1188,2022,Mallorca,Abdón Prats,Attacker,26.0,2.0,395.0,0.2,0.27058823529411763,0.2857142857142857,7.0,3.0,6.0,Bad
1132,2022,Osasuna,Kike García,Attacker,35.0,7.0,998.0,0.058823529411764705,0.4461538461538462,0.6666666666666666,12.0,5.0,26.0,Normal
790,2021,Mallorca,V. Muriqi,Attacker,16.0,16.0,1439.0,0.13513513513513514,0.4883720930232558,0.4090909090909091,14.0,15.0,16.0,Normal
942,2022,Espanyol,M. Braithwaite,Attacker,31.0,29.0,2467.0,0.24390243902439024,0.4701195219123506,0.38095238095238093,12.0,9.0,42.0,Good
632,2021,Real Betis,Willian José,Attacker,32.0,19.0,1608.0,0.3333333333333333,0.4024390243902439,0.375,22.0,13.0,23.0,Normal
