,season,teamName,playerName,position,rating,game_minutes,duel_success_rate,dribble_success_rate,key_pass,pass_accura,fouls_drawn,performance
1059,2022,Real Sociedad,Pablo Marín,Midfielder,6.61,356.0,0.40384615384615385,0.625,6.0,12.0,2.0,Normal
24,2020,Atletico Madrid,Vitolo,Midfielder,6.455555,294.0,0.4358974358974359,0.5,3.0,12.0,8.0,Normal
321,2020,Cadiz,A. Fernández,Midfielder,6.35,366.0,0.4318181818181818,0.6666666666666666,0.0,7.0,2.0,Normal
963,2022,Real Madrid,L. Modrić,Midfielder,6.954545,1745.0,0.4230769230769231,0.4634146341463415,42.0,39.0,16.0,Good
547,2021,Levante,N. Vukčević,Midfielder,6.583333,112.0,0.6470588235294118,1.0,2.0,10.0,1.0,Normal
886,2022,Villarreal,Manu Trigueros,Midfielder,6.495652,818.0,0.42696629213483145,0.4,10.0,20.0,10.0,Normal
1135,2022,Osasuna,Aimar Oroz,Midfielder,6.69,2022.0,0.44802867383512546,0.5217391304347826,32.0,21.0,60.0,Good
768,2021,Elche,Kike Pérez,Midfielder,6.808333,518.0,0.4065934065934066,0.6428571428571429,6.0,14.0,6.0,Normal
31,2020,Atletico Madrid,Marcos Llorente,Midfielder,7.202702,2959.0,0.4575342465753425,0.5909090909090909,45.0,28.0,38.0,Good
102,2020,Sevilla,Suso,Midfielder,7.141176,2232.0,0.519650655021834,0.8405797101449275,46.0,27.0,37.0,Good
870,2022,Valencia,I. Moriba,Midfielder,6.8,1006.0,0.5581395348837209,0.5789473684210527,12.0,16.0,30.0,Normal
1044,2022,Real Sociedad,T. Kubo,Midfielder,7.051428,2452.0,0.47560975609756095,0.48484848484848486,39.0,17.0,48.0,Good
1070,2022,Valladolid,Toni Villa,Midfielder,6.5,91.0,0.4171779141104294,0.34328358208955223,15.0,10.0,18.0,Normal
1007,2022,Getafe,M. Arambarri,Midfielder,6.8,1000.0,0.44047619047619047,1.0,14.0,24.0,10.0,Normal
627,2021,Real Betis,Joaquín,Midfielder,6.71,454.0,0.4794520547945205,0.5666666666666667,14.0,9.0,9.0,Normal
268,2020,Real Sociedad,Mikel Merino,Midfielder,7.115384,2157.0,0.517162471395881,0.6739130434782609,30.0,34.0,54.0,Good
926,2022,Celta Vigo,L. de la Torre,Midfielder,6.611538,1484.0,0.36423841059602646,0.6,13.0,17.0,12.0,Good
54,2020,Athletic Club,Mikel Vesga,Midfielder,6.673333,1721.0,0.4304932735426009,0.8181818181818182,12.0,24.0,13.0,Good
423,2021,Atletico Madrid,Y. Carrasco,Midfielder,7.094117,2591.0,0.5105740181268882,0.6470588235294118,54.0,24.0,39.0,Good
90,2020,Villarreal,Manu Trigueros,Midfielder,6.825714,2538.0,0.4185303514376997,0.8181818181818182,34.0,39.0,39.0,Good
1091,2022,Almeria,Gonzalo Melero,Midfielder,6.725925,1874.0,0.46733668341708545,0.4722222222222222,19.0,24.0,30.0,Good
75,2020,Valencia,C. Oliva,Midfielder,6.714285,192.0,0.45,1.0,2.0,10.0,3.0,Normal
562,2021,Espanyol,Y. Herrera,Midfielder,6.647826,1648.0,0.4869281045751634,0.6333333333333333,12.0,30.0,34.0,Good
686,2021,Granada CF,Ángel Montoro,Midfielder,6.7,1328.0,0.41935483870967744,0.0,23.0,19.0,18.0,Normal
122,2020,Celta Vigo,Denis Suárez,Midfielder,6.925714,2863.0,0.46646341463414637,0.6206896551724138,47.0,45.0,40.0,Good
574,2021,Espanyol,Dani Villahermosa,Midfielder,6.2,22.0,0.6666666666666666,1.0,0.0,4.0,1.0,Normal
1186,2022,Mallorca,I. Baba,Midfielder,6.578571,1751.0,0.5291005291005291,0.6428571428571429,5.0,17.0,28.0,Good
965,2022,Real Madrid,Lucas Vázquez,Midfielder,7.05238,1140.0,0.5803571428571429,0.7368421052631579,22.0,30.0,16.0,Normal
33,2020,Atletico Madrid,Y. Carrasco,Midfielder,7.0,2187.0,0.4413793103448276,0.5546218487394958,48.0,22.0,33.0,Good
760,2021,Elche,Omar Mascarell,Midfielder,6.778125,2504.0,0.49193548387096775,0.75,7.0,32.0,22.0,Good
885,2022,Villarreal,Alfonso Pedraza,Midfielder,6.733333,1635.0,0.48823529411764705,0.39622641509433965,18.0,19.0,15.0,Good
447,2021,Athletic Club,Dani García,Midfielder,6.621875,2192.0,0.4398148148148148,0.6666666666666666,9.0,25.0,22.0,Good
676,2021,Real Sociedad,Robert Navarro,Midfielder,6.816666,199.0,0.45454545454545453,0.7777777777777778,1.0,12.0,2.0,Normal
900,2022,Sevilla,É. Lamela,Midfielder,6.71,1843.0,0.37209302325581395,0.4696969696969697,24.0,18.0,21.0,Good
1049,2022,Real Sociedad,Guevara,Midfielder,6.8,217.0,0.5384615384615384,0.75,4.0,20.0,3.0,Normal
92,2020,Villarreal,É. Capoue,Midfielder,6.78125,1195.0,0.5539568345323741,0.6666666666666666,3.0,42.0,22.0,Normal
369,2020,Osasuna,Iñigo Pérez,Midfielder,6.68,1352.0,0.43137254901960786,0.6666666666666666,14.0,18.0,11.0,Normal
70,2020,Valencia,Carlos Soler,Midfielder,7.3,2737.0,0.55,0.6410256410256411,45.0,38.0,37.0,Good
309,2020,Valladolid,Rubén Alcaraz,Midfielder,6.756666,2170.0,0.5061349693251533,0.7368421052631579,9.0,30.0,44.0,Good
628,2021,Real Betis,William Carvalho,Midfielder,6.93125,1804.0,0.5536332179930796,0.6901408450704225,22.0,35.0,28.0,Good
919,2022,Sevilla,Manu Bueno,Midfielder,6.9,150.0,0.55,0.3333333333333333,2.0,26.0,2.0,Normal
847,2022,Athletic Club,Raúl García,Midfielder,6.679411,945.0,0.5067567567567568,0.5,8.0,6.0,19.0,Normal
1125,2022,Osasuna,Moncayola,Midfielder,6.777777,2444.0,0.4696969696969697,0.5714285714285714,28.0,30.0,16.0,Good
881,2022,Villarreal,F. Coquelin,Midfielder,6.7,746.0,0.515625,0.5,6.0,16.0,7.0,Normal
169,2020,Real Madrid,Lucas Vázquez,Midfielder,7.229166,1851.0,0.5702127659574469,0.7111111111111111,44.0,44.0,31.0,Good
262,2020,Real Sociedad,A. Januzaj,Midfielder,7.022222,1011.0,0.5903614457831325,0.6716417910447762,23.0,13.0,36.0,Normal
56,2020,Athletic Club,Oihan Sancet,Midfielder,6.679166,1034.0,0.4728682170542636,0.72,12.0,10.0,17.0,Normal
267,2020,Real Sociedad,Guevara,Midfielder,6.8,2088.0,0.4972067039106145,0.8235294117647058,15.0,39.0,14.0,Good
1004,2022,Getafe,Gonzalo Villar,Midfielder,6.586666,448.0,0.4935064935064935,0.8125,3.0,12.0,11.0,Normal
933,2022,Celta Vigo,W. Swedberg,Midfielder,6.6,51.0,0.7142857142857143,0.5,0.0,4.0,1.0,Normal
850,2022,Athletic Club,Mikel Vesga,Midfielder,6.880555,2575.0,0.4935483870967742,0.5294117647058824,20.0,34.0,21.0,Good
149,2020,Levante,Rochina,Midfielder,6.892,1406.0,0.4956896551724138,0.7692307692307693,16.0,23.0,31.0,Normal
649,2021,Getafe,Óscar Rodríguez,Midfielder,6.847058,942.0,0.46938775510204084,0.5263157894736842,11.0,17.0,11.0,Normal
352,2020,Huesca,David Ferreiro,Midfielder,6.883783,2539.0,0.4128113879003559,0.6875,73.0,16.0,38.0,Good
217,2020,Real Betis,Rodri,Midfielder,6.592857,533.0,0.5263157894736842,0.5625,8.0,13.0,16.0,Normal
1037,2022,Girona,Joel Roca,Midfielder,6.52,80.0,0.46153846153846156,0.38461538461538464,1.0,5.0,5.0,Normal
485,2021,Villarreal,F. Coquelin,Midfielder,6.85,825.0,0.5338345864661654,0.85,10.0,20.0,13.0,Normal
637,2021,Real Betis,Rodri,Midfielder,6.685,880.0,0.4659090909090909,0.6153846153846154,17.0,16.0,15.0,Normal
588,2021,Real Madrid,L. Modrić,Midfielder,7.153571,2049.0,0.4835164835164835,0.6666666666666666,38.0,52.0,32.0,Good
233,2020,Eibar,Aleix García,Midfielder,6.754545,436.0,0.4482758620689655,0.5,12.0,19.0,1.0,Normal
454,2021,Athletic Club,Oihan Sancet,Midfielder,6.933333,1424.0,0.3969849246231156,0.6216216216216216,27.0,12.0,27.0,Normal
791,2021,Mallorca,Antonio Sánchez,Midfielder,6.637931,1622.0,0.48660714285714285,0.5294117647058824,9.0,17.0,27.0,Good
1159,2022,Rayo Vallecano,Pablo Muñoz,Midfielder,6.3,10.0,0.16666666666666666,0.0,0.0,1.0,1.0,Normal
587,2021,Real Madrid,T. Kroos,Midfielder,7.385714,2110.0,0.5625,0.5294117647058824,51.0,72.0,39.0,Good
1053,2022,Real Sociedad,Robert Navarro,Midfielder,6.50625,336.0,0.375,0.4375,12.0,5.0,6.0,Normal
660,2021,Real Sociedad,Rafinha,Midfielder,6.923529,1059.0,0.5628140703517588,0.5,9.0,33.0,38.0,Normal
491,2021,Villarreal,Manu Trigueros,Midfielder,6.805714,2191.0,0.4318181818181818,0.5333333333333333,25.0,27.0,43.0,Good
852,2022,Athletic Club,Oihan Sancet,Midfielder,6.811111,2553.0,0.483974358974359,0.6571428571428571,45.0,21.0,54.0,Good
283,2020,Granada CF,Ángel Montoro,Midfielder,6.927272,1369.0,0.44339622641509435,0.6666666666666666,22.0,22.0,20.0,Normal
529,2021,Celta Vigo,Fran Beltrán,Midfielder,6.862162,2609.0,0.48132780082987553,0.7037037037037037,11.0,46.0,25.0,Good
727,2021,Osasuna,Roberto Torres,Midfielder,6.753846,798.0,0.375,0.4166666666666667,24.0,8.0,11.0,Normal
270,2020,Real Sociedad,Zubeldia,Midfielder,6.841666,1958.0,0.5443786982248521,0.7777777777777778,5.0,43.0,11.0,Good
642,2021,Getafe,Carles Aleñá,Midfielder,6.63125,2343.0,0.3715415019762846,0.4857142857142857,20.0,20.0,37.0,Good
493,2021,Villarreal,É. Capoue,Midfielder,7.03,2297.0,0.6262975778546713,0.7454545454545455,5.0,38.0,44.0,Good
530,2021,Celta Vigo,Brais Méndez,Midfielder,6.824324,3035.0,0.4276595744680851,0.4857142857142857,35.0,31.0,54.0,Good
1160,2022,Elche,Omar Mascarell,Midfielder,6.917857,2450.0,0.5450236966824644,0.6551724137931034,20.0,38.0,17.0,Good
526,2021,Celta Vigo,R. Tapia,Midfielder,6.682142,1404.0,0.5045045045045045,0.4,4.0,23.0,26.0,Normal
