season,teamName,playerName,playerAge,nationality,height(cm),weight(kg),game_appear,game_lineups,position,rating,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_scored,penalty_missed,penalty_saved
2020,Barcelona,Piqué,35,Spain,194.0,85.0,18.0,18.0,Defender,6.983333,0.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,1239.0,2.0,64.0,16.0,4.0,26.0,124.0,84.0,2.0,2.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Junior Firpo,28,Spain,184.0,78.0,7.0,3.0,Defender,6.783333,4.0,1.0,32.0,1.0,1.0,1.0,0.0,1.0,0.0,203.0,5.0,26.0,1.0,3.0,4.0,26.0,11.0,5.0,1.0,6.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Philippe Coutinho,32,Brazil,172.0,68.0,12.0,8.0,Midfielder,6.941666,4.0,7.0,5.0,21.0,10.0,2.0,0.0,2.0,0.0,485.0,7.0,36.0,8.0,0.0,2.0,67.0,34.0,15.0,11.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Rafinha,32,Brazil,174.0,71.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,M. Braithwaite,33,Denmark,180.0,77.0,29.0,11.0,Attacker,6.568965,18.0,4.0,21.0,17.0,7.0,2.0,0.0,2.0,0.0,276.0,12.0,8.0,8.0,0.0,6.0,105.0,53.0,16.0,9.0,20.0,11.0,3.0,0.0,0.0,0.0,1.0,0.0
2020,Barcelona,K. de La Fuente,23,USA,170.0,63.0,0.0,0.0,Attacker,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Matheus Fernandes,26,Brazil,183.0,69.0,0.0,0.0,Midfielder,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Trincão,25,Portugal,183.0,77.0,28.0,3.0,Attacker,6.614285,25.0,2.0,35.0,17.0,12.0,3.0,0.0,2.0,0.0,372.0,8.0,11.0,4.0,0.0,1.0,101.0,47.0,45.0,27.0,13.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Álex Collado,25,Spain,177.0,66.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,A. Vidal,37,Chile,180.0,75.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,M. Pjanić,34,Bosnia and Herzegovina,178.0,72.0,19.0,6.0,Midfielder,6.815789,13.0,5.0,30.0,12.0,3.0,0.0,0.0,0.0,0.0,748.0,12.0,36.0,13.0,1.0,11.0,62.0,40.0,7.0,7.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Neto,35,Brazil,190.0,84.0,7.0,7.0,Goalkeeper,6.942857,0.0,0.0,28.0,0.0,0.0,0.0,6.0,0.0,18.0,204.0,0.0,25.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020,Barcelona,Ansu Fati,22,Spain,178.0,66.0,7.0,6.0,Attacker,7.257142,1.0,6.0,1.0,13.0,7.0,4.0,0.0,0.0,0.0,198.0,9.0,23.0,9.0,0.0,3.0,69.0,33.0,23.0,11.0,11.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,C. Lenglet,29,France,186.0,81.0,33.0,29.0,Defender,6.833333,4.0,4.0,6.0,10.0,5.0,1.0,0.0,0.0,0.0,2299.0,9.0,64.0,36.0,12.0,33.0,245.0,134.0,11.0,8.0,31.0,50.0,9.0,2.0,0.0,0.0,0.0,0.0
2020,Barcelona,L. Messi,37,Argentina,170.0,72.0,35.0,33.0,Attacker,8.342857,2.0,1.0,2.0,141.0,91.0,30.0,0.0,9.0,0.0,2246.0,81.0,54.0,19.0,0.0,6.0,501.0,286.0,247.0,160.0,99.0,22.0,4.0,0.0,0.0,3.0,2.0,0.0
2020,Barcelona,Sergio Busquets,36,Spain,189.0,73.0,36.0,32.0,Midfielder,7.052777,4.0,19.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,2682.0,30.0,68.0,63.0,4.0,53.0,313.0,171.0,9.0,8.0,60.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Jordi Alba,35,Spain,170.0,68.0,35.0,34.0,Defender,7.168571,1.0,6.0,2.0,25.0,10.0,3.0,0.0,5.0,0.0,2567.0,53.0,63.0,45.0,2.0,49.0,162.0,81.0,32.0,17.0,15.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Óscar Mingueza,25,Spain,184.0,75.0,27.0,23.0,Defender,6.951851,4.0,8.0,9.0,11.0,6.0,2.0,0.0,2.0,0.0,1595.0,8.0,54.0,52.0,6.0,20.0,162.0,90.0,10.0,8.0,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,I. Moriba,21,Guinea,185.0,73.0,14.0,4.0,Midfielder,6.964285,10.0,4.0,13.0,10.0,3.0,1.0,0.0,2.0,0.0,370.0,7.0,24.0,14.0,1.0,5.0,104.0,63.0,19.0,17.0,19.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Carles Aleñá,26,Spain,180.0,73.0,2.0,0.0,Midfielder,6.5,2.0,0.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,18.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Vitolo,34,Spain,185.0,80.0,10.0,3.0,Midfielder,6.455555,7.0,3.0,33.0,2.0,0.0,0.0,0.0,0.0,0.0,148.0,3.0,12.0,4.0,0.0,3.0,39.0,17.0,4.0,2.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Šime Vrsaljko,30,Croatia,181.0,76.0,9.0,6.0,Defender,6.722222,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,226.0,0.0,18.0,18.0,0.0,8.0,67.0,39.0,2.0,1.0,4.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Diego Costa,36,Spain,188.0,83.0,7.0,2.0,Attacker,6.85,5.0,2.0,5.0,4.0,3.0,2.0,0.0,0.0,0.0,72.0,4.0,9.0,1.0,0.0,0.0,43.0,14.0,1.0,1.0,3.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,Atletico Madrid,Óscar Castro,23,Spain,177.0,73.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Josep Calavera,25,Spain,181.0,71.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Álvaro García,24,Spain,184.0,77.0,0.0,0.0,Defender,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,I. Šaponjić,27,Serbia,190.0,86.0,0.0,0.0,Attacker,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Adrián Corral,21,Spain,183.0,76.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,Renan Lodi,26,Brazil,173.0,68.0,23.0,11.0,Defender,6.971428,12.0,4.0,24.0,8.0,3.0,1.0,0.0,2.0,0.0,575.0,12.0,21.0,30.0,0.0,16.0,148.0,89.0,29.0,22.0,27.0,19.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,João Félix,25,Portugal,181.0,70.0,31.0,14.0,Attacker,6.932258,17.0,11.0,17.0,31.0,16.0,7.0,0.0,5.0,0.0,666.0,21.0,18.0,8.0,0.0,5.0,229.0,107.0,60.0,30.0,48.0,16.0,6.0,0.0,0.0,1.0,1.0,0.0
