season,teamName,playerName,playerAge,nationality,height(cm),weight(kg),game_appear,game_lineups,game_minutes,position,rating,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_scored,penalty_missed,penalty_saved
2020,Barcelona,A. Griezmann,33,France,176.0,73.0,36.0,32.0,2619.0,Attacker,7.213888,4.0,20.0,6.0,62.0,34.0,13.0,0.0,7.0,0.0,1315.0,42.0,31.0,37.0,1.0,12.0,204.0,115.0,37.0,26.0,34.0,13.0,4.0,0.0,0.0,1.0,1.0,0.0
2020,Barcelona,Iñaki Peña,25,Spain,184.0,78.0,0.0,0.0,0.0,Goalkeeper,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,M. ter Stegen,32,Germany,187.0,85.0,31.0,31.0,2790.0,Goalkeeper,6.851612,0.0,0.0,0.0,1.0,0.0,0.0,32.0,0.0,78.0,886.0,1.0,24.0,0.0,0.0,0.0,10.0,7.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
2020,Barcelona,Jordi Alba,35,Spain,170.0,68.0,35.0,34.0,3029.0,Defender,7.168571,1.0,6.0,2.0,25.0,10.0,3.0,0.0,5.0,0.0,2567.0,53.0,63.0,45.0,2.0,49.0,162.0,81.0,32.0,17.0,15.0,20.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Chumi,25,Spain,186.0,78.0,0.0,0.0,0.0,Defender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Piqué,35,Spain,194.0,85.0,18.0,18.0,1485.0,Defender,6.983333,0.0,5.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,1239.0,2.0,64.0,16.0,4.0,26.0,124.0,84.0,2.0,2.0,5.0,13.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Sergi Roberto,32,Spain,178.0,68.0,15.0,9.0,943.0,Defender,7.006666,6.0,3.0,7.0,3.0,1.0,1.0,0.0,2.0,0.0,799.0,13.0,48.0,9.0,6.0,9.0,64.0,37.0,9.0,8.0,10.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Rafinha,32,Brazil,174.0,71.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Sergio Busquets,36,Spain,189.0,73.0,36.0,32.0,2529.0,Midfielder,7.052777,4.0,19.0,4.0,2.0,1.0,0.0,0.0,5.0,0.0,2682.0,30.0,68.0,63.0,4.0,53.0,313.0,171.0,9.0,8.0,60.0,45.0,9.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Philippe Coutinho,32,Brazil,172.0,68.0,12.0,8.0,657.0,Midfielder,6.941666,4.0,7.0,5.0,21.0,10.0,2.0,0.0,2.0,0.0,485.0,7.0,36.0,8.0,0.0,2.0,67.0,34.0,15.0,11.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,L. Messi,37,Argentina,170.0,72.0,35.0,33.0,3022.0,Attacker,8.342857,2.0,1.0,2.0,141.0,91.0,30.0,0.0,9.0,0.0,2246.0,81.0,54.0,19.0,0.0,6.0,501.0,286.0,247.0,160.0,99.0,22.0,4.0,0.0,0.0,3.0,2.0,0.0
2020,Barcelona,L. Suárez,37,Uruguay,182.0,86.0,0.0,0.0,0.0,Attacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,F. de Jong,27,Netherlands,181.0,74.0,37.0,35.0,3158.0,Midfielder,7.178378,2.0,6.0,2.0,13.0,6.0,3.0,0.0,4.0,0.0,2785.0,49.0,69.0,43.0,4.0,38.0,292.0,185.0,68.0,59.0,44.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,M. Pjanić,34,Bosnia and Herzegovina,178.0,72.0,19.0,6.0,620.0,Midfielder,6.815789,13.0,5.0,30.0,12.0,3.0,0.0,0.0,0.0,0.0,748.0,12.0,36.0,13.0,1.0,11.0,62.0,40.0,7.0,7.0,10.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,R. Manaj,27,Albania,182.0,76.0,0.0,0.0,0.0,Attacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Carles Pérez,26,Spain,173.0,75.0,0.0,0.0,0.0,Attacker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,R. Araujo,25,Uruguay,188.0,79.0,24.0,16.0,1507.0,Defender,7.029166,8.0,5.0,14.0,10.0,4.0,2.0,0.0,1.0,0.0,1065.0,3.0,40.0,23.0,15.0,20.0,135.0,99.0,8.0,8.0,17.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Pedri,22,Spain,174.0,60.0,37.0,28.0,2427.0,Midfielder,6.935135,9.0,22.0,9.0,18.0,9.0,3.0,0.0,3.0,0.0,1695.0,39.0,40.0,44.0,1.0,33.0,244.0,120.0,41.0,29.0,42.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Óscar Mingueza,25,Spain,184.0,75.0,27.0,23.0,1905.0,Defender,6.951851,4.0,8.0,9.0,11.0,6.0,2.0,0.0,2.0,0.0,1595.0,8.0,54.0,52.0,6.0,20.0,162.0,90.0,10.0,8.0,16.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0
2020,Barcelona,Gustavo Maia,23,Brazil,168.0,61.0,0.0,0.0,0.0,Midfielder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,Atletico Madrid,J. Oblak,31,Slovenia,188.0,87.0,38.0,38.0,3420.0,Goalkeeper,7.157894,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,103.0,872.0,0.0,13.0,0.0,0.0,0.0,13.0,12.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
