season,teamId,teamName,playerName,birthDate,playerAge,nationality,height(cm),weight(kg),injured,game_appear,game_lineups,game_minutes,number,position,rating,captain,sub_in,sub_out,sub_bench,shots_total,shots_on,goals_total,goal_conceded,goal_assists,goal_saved,pass_total,key_pass,pass_accura,tackle_total,tackle_blocks,tackle_intercep,duel_total,duel_won,dribble_attemp,dribble_success,dribble_past,fouls_drawn,fouls_committed,yellow_card,yollowed_card,red_card,penalty_won,penalty_scored,penalty_missed,penalty_saved
2020,529,Barcelona,Piqué,1987-02-02,35,Spain,194 cm,85 kg,False,18.0,18.0,,,Defender,6.983333,False,0.0,5.0,2.0,7.0,2.0,0.0,0.0,,,1239.0,2.0,64.0,16.0,4.0,26.0,124.0,84.0,2.0,2.0,,5.0,13.0,4.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Ansu Fati,2002-10-31,22,Spain,178 cm,66 kg,False,7.0,6.0,,,Attacker,7.257142,False,1.0,6.0,1.0,13.0,7.0,4.0,0.0,,,198.0,9.0,23.0,9.0,,3.0,69.0,33.0,23.0,11.0,,11.0,6.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,C. Lenglet,1995-06-17,29,France,186 cm,81 kg,False,33.0,29.0,,,Defender,6.833333,False,4.0,4.0,6.0,10.0,5.0,1.0,0.0,,,2299.0,9.0,64.0,36.0,12.0,33.0,245.0,134.0,11.0,8.0,,31.0,50.0,9.0,2.0,0.0,,0.0,0.0,
2020,529,Barcelona,Óscar Mingueza,1999-05-13,25,Spain,184 cm,75 kg,False,27.0,23.0,,,Defender,6.951851,False,4.0,8.0,9.0,11.0,6.0,2.0,0.0,2.0,,1595.0,8.0,54.0,52.0,6.0,20.0,162.0,90.0,10.0,8.0,,16.0,20.0,4.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,I. Moriba,2003-01-19,21,Guinea,185 cm,73 kg,False,14.0,4.0,,,Midfielder,6.964285,False,10.0,4.0,13.0,10.0,3.0,1.0,0.0,2.0,,370.0,7.0,24.0,14.0,1.0,5.0,104.0,63.0,19.0,17.0,,19.0,16.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Carles Aleñá,1998-01-05,26,Spain,180 cm,73 kg,False,2.0,0.0,,,Midfielder,6.500000,False,2.0,0.0,16.0,1.0,,0.0,0.0,,,38.0,,18.0,1.0,,,8.0,1.0,,,,,4.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,F. de Jong,1997-05-12,27,Netherlands,181 cm,74 kg,False,37.0,35.0,,,Midfielder,7.178378,False,2.0,6.0,2.0,13.0,6.0,3.0,0.0,4.0,,2785.0,49.0,69.0,43.0,4.0,38.0,292.0,185.0,68.0,59.0,,44.0,25.0,5.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Pedri,2002-11-25,22,Spain,174 cm,60 kg,False,37.0,28.0,,,Midfielder,6.935135,False,9.0,22.0,9.0,18.0,9.0,3.0,0.0,3.0,,1695.0,39.0,40.0,44.0,1.0,33.0,244.0,120.0,41.0,29.0,,42.0,17.0,2.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Sergi Roberto,1992-02-07,32,Spain,178 cm,68 kg,False,15.0,9.0,,,Defender,7.006666,False,6.0,3.0,7.0,3.0,1.0,1.0,0.0,2.0,,799.0,13.0,48.0,9.0,6.0,9.0,64.0,37.0,9.0,8.0,,10.0,7.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,R. Araujo,1999-03-07,25,Uruguay,188 cm,79 kg,False,24.0,16.0,,,Defender,7.029166,False,8.0,5.0,14.0,10.0,4.0,2.0,0.0,1.0,,1065.0,3.0,40.0,23.0,15.0,20.0,135.0,99.0,8.0,8.0,,17.0,12.0,3.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Iñaki Peña,1999-03-02,25,Spain,184 cm,78 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,24.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0
2020,529,Barcelona,M. ter Stegen,1992-04-30,32,Germany,187 cm,85 kg,False,31.0,31.0,,,Goalkeeper,6.851612,False,0.0,0.0,0.0,1.0,,0.0,32.0,,78.0,886.0,1.0,24.0,,,,10.0,7.0,,,,1.0,1.0,1.0,0.0,0.0,,0.0,0.0,1.0
2020,529,Barcelona,A. Griezmann,1991-03-21,33,France,176 cm,73 kg,False,36.0,32.0,,,Attacker,7.213888,False,4.0,20.0,6.0,62.0,34.0,13.0,0.0,7.0,,1315.0,42.0,31.0,37.0,1.0,12.0,204.0,115.0,37.0,26.0,,34.0,13.0,4.0,0.0,0.0,,1.0,1.0,
2020,529,Barcelona,Neto,1989-07-19,35,Brazil,190 cm,84 kg,False,7.0,7.0,,,Goalkeeper,6.942857,False,0.0,0.0,28.0,,,0.0,6.0,,18.0,204.0,,25.0,,,,3.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0
2020,529,Barcelona,S. Umtiti,1993-11-14,31,France,182 cm,75 kg,False,13.0,6.0,,,Defender,6.825000,False,7.0,1.0,21.0,2.0,1.0,0.0,0.0,,,615.0,1.0,44.0,5.0,6.0,9.0,54.0,28.0,1.0,1.0,,8.0,14.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,O. Dembélé,1997-05-15,27,France,178 cm,67 kg,False,30.0,19.0,,,Attacker,7.050000,False,11.0,14.0,14.0,40.0,23.0,6.0,0.0,3.0,,922.0,40.0,26.0,14.0,,9.0,218.0,114.0,99.0,63.0,,28.0,15.0,2.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Arnau Tenas,2001-05-30,23,Spain,185 cm,85 kg,False,0.0,0.0,,,Goalkeeper,,False,0.0,0.0,24.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0
2020,529,Barcelona,S. Dest,2000-11-03,24,USA,173 cm,62 kg,False,30.0,23.0,,,Defender,6.730000,False,7.0,14.0,12.0,10.0,5.0,2.0,0.0,1.0,,1115.0,23.0,33.0,30.0,4.0,11.0,170.0,77.0,60.0,29.0,,11.0,16.0,1.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,S. Ramos,2001-11-21,23,Argentina,186 cm,77 kg,False,0.0,0.0,,,Defender,,False,0.0,0.0,3.0,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,
2020,529,Barcelona,Junior Firpo,1996-08-22,28,Spain,184 cm,78 kg,False,7.0,3.0,,,Defender,6.783333,False,4.0,1.0,32.0,1.0,1.0,1.0,0.0,1.0,,203.0,5.0,26.0,1.0,3.0,4.0,26.0,11.0,5.0,1.0,,6.0,9.0,2.0,0.0,0.0,,0.0,0.0,
